track,fin,start,manu,manu_avg_fin_track,manu_avg_fin,avg_fin_track,manu_track_delta
Atlanta,0.6923076923076923,0.5384615384615384,Ford,0.4617749947431229,0.5581280960966071,0.6398690725001774,0.5218353257344083
Atlanta,0.717948717948718,0.8974358974358974,Chevrolet,0.6860349971462669,1.0,0.6398690725001774,0.2839287369103883
Atlanta,0.7435897435897435,0.28205128205128205,Chevrolet,0.6860349971462669,1.0,0.6398690725001774,0.2839287369103883
Atlanta,0.7692307692307692,0.8205128205128205,Chevrolet,0.6860349971462669,1.0,0.6398690725001774,0.2839287369103883
Atlanta,0.7948717948717948,0.4615384615384615,Chevrolet,0.6860349971462669,1.0,0.6398690725001774,0.2839287369103883
Atlanta,0.8205128205128205,0.8717948717948717,Chevrolet,0.6860349971462669,1.0,0.6398690725001774,0.2839287369103883
Atlanta,0.8461538461538461,0.7948717948717948,Toyota,0.35073877764429295,0.0,0.6398690725001774,0.6396186637012325
Atlanta,0.8717948717948717,0.02564102564102564,Chevrolet,0.6860349971462669,1.0,0.6398690725001774,0.2839287369103883
Atlanta,0.8974358974358974,0.9487179487179487,Chevrolet,0.6860349971462669,1.0,0.6398690725001774,0.2839287369103883
Atlanta,0.923076923076923,0.7692307692307692,Toyota,0.35073877764429295,0.0,0.6398690725001774,0.6396186637012325
Atlanta,0.9487179487179487,0.23076923076923075,Toyota,0.35073877764429295,0.0,0.6398690725001774,0.6396186637012325
Atlanta,0.9743589743589743,0.9743589743589743,Chevrolet,0.6860349971462669,1.0,0.6398690725001774,0.2839287369103883
Las Vegas,0.0,0.02564102564102564,Toyota,0.33463963136951236,0.0,0.6775874687627725,0.6709294782689279
Las Vegas,0.02564102564102564,0.10256410256410256,Chevrolet,0.6206824874304424,1.0,0.6775874687627725,0.36748216106014275
Las Vegas,0.05128205128205129,0.28205128205128205,Chevrolet,0.6206824874304424,1.0,0.6775874687627725,0.36748216106014275
Las Vegas,0.07692307692307693,0.12820512820512822,Ford,0.5889573377596744,0.5581280960966071,0.6775874687627725,0.4011328885182096
Las Vegas,0.10256410256410256,0.0,Ford,0.5889573377596744,0.5581280960966071,0.6775874687627725,0.4011328885182096
Las Vegas,0.12820512820512822,0.3589743589743589,Toyota,0.33463963136951236,0.0,0.6775874687627725,0.6709294782689279
Las Vegas,0.15384615384615385,0.05128205128205129,Ford,0.5889573377596744,0.5581280960966071,0.6775874687627725,0.4011328885182096
Las Vegas,0.1794871794871795,0.23076923076923075,Chevrolet,0.6206824874304424,1.0,0.6775874687627725,0.36748216106014275
Las Vegas,0.20512820512820512,0.07692307692307693,Toyota,0.33463963136951236,0.0,0.6775874687627725,0.6709294782689279
Las Vegas,0.23076923076923075,0.30769230769230765,Ford,0.5889573377596744,0.5581280960966071,0.6775874687627725,0.4011328885182096
Las Vegas,0.2564102564102564,0.3846153846153846,Chevrolet,0.6206824874304424,1.0,0.6775874687627725,0.36748216106014275
Las Vegas,0.28205128205128205,0.15384615384615385,Chevrolet,0.6206824874304424,1.0,0.6775874687627725,0.36748216106014275
Las Vegas,0.30769230769230765,0.4871794871794871,Ford,0.5889573377596744,0.5581280960966071,0.6775874687627725,0.4011328885182096
Las Vegas,0.3333333333333333,0.7435897435897435,Ford,0.5889573377596744,0.5581280960966071,0.6775874687627725,0.4011328885182096
Las Vegas,0.3589743589743589,0.1794871794871795,Toyota,0.33463963136951236,0.0,0.6775874687627725,0.6709294782689279
Las Vegas,0.3846153846153846,0.43589743589743585,Chevrolet,0.6206824874304424,1.0,0.6775874687627725,0.36748216106014275
Las Vegas,0.41025641025641024,0.5128205128205128,Chevrolet,0.6206824874304424,1.0,0.6775874687627725,0.36748216106014275
Las Vegas,0.43589743589743585,0.641025641025641,Chevrolet,0.6206824874304424,1.0,0.6775874687627725,0.36748216106014275
